competencia;num_indice;var_perc;
01/01/2012;3422,79;0,56;
01/02/2012;3438,19;0,45;
01/03/2012;3445,41;0,21;
01/04/2012;3467,46;0,64;
01/05/2012;3479,94;0,36;
01/06/2012;3482,72;0,08;
01/07/2012;3497,70;0,43;
01/08/2012;3512,04;0,41;
01/09/2012;3532,06;0,57;
01/10/2012;3552,90;0,59;
01/11/2012;3574,22;0,60;
01/12/2012;3602,46;0,79;
01/01/2013;3633,44;0,86;
01/02/2013;3655,24;0,60;
01/03/2013;3672,42;0,47;
01/04/2013;3692,62;0,55;
01/05/2013;3706,28;0,37;
01/06/2013;3715,92;0,26;
01/07/2013;3717,03;0,03;
01/08/2013;3725,95;0,24;
01/09/2013;3738,99;0,35;
01/10/2013;3760,30;0,57;
01/11/2013;3780,61;0,54;
01/12/2013;3815,39;0,92;
01/01/2014;3836,37;0,55;
01/02/2014;3862,84;0,69;
01/03/2014;3898,38;0,92;
01/04/2014;3924,50;0,67;
01/05/2014;3942,55;0,46;
01/06/2014;3958,32;0,40;
01/07/2014;3958,72;0,01;
01/08/2014;3968,62;0,25;
01/09/2014;3991,24;0,57;
01/10/2014;4008,00;0,42;
01/11/2014;4028,44;0,51;
01/12/2014;4059,86;0,78;
01/01/2015;4110,20;1,24;
01/02/2015;4160,34;1,22;
01/03/2015;4215,26;1,32;
01/04/2015;4245,19;0,71;
01/05/2015;4276,60;0,74;
01/06/2015;4310,39;0,79;
01/07/2015;4337,11;0,62;
01/08/2015;4346,65;0,22;
01/09/2015;4370,12;0,54;
01/10/2015;4405,95;0,82;
01/11/2015;4450,45;1,01;
01/12/2015;4493,17;0,96;
01/01/2016;4550,23;1,27;
01/02/2016;4591,18;0,90;
01/03/2016;4610,92;0,43;
01/04/2016;4639,05;0,61;
01/05/2016;4675,23;0,78;
01/06/2016;4691,59;0,35;
01/07/2016;4715,99;0,52;
01/08/2016;4736,74;0,44;
01/09/2016;4740,53;0,08;
01/10/2016;4752,86;0,26;
01/11/2016;4761,42;0,18;
01/12/2016;4775,70;0,30;
01/01/2017;4793,85;0,38;
01/02/2017;4809,67;0,33;
01/03/2017;4821,69;0,25;
01/04/2017;4828,44;0,14;
01/05/2017;4843,41;0,31;
01/06/2017;4832,27;-0,23;
01/07/2017;4843,87;0,24;
